Region,mcode,lvcnt,lvdt2,bomb
West,8,364,3/24/1999,0
West,8,662,3/26/1999,0
West,8,1762,3/28/1999,0
West,8,967,3/30/1999,0
West,8,786,4/1/1999,0
West,8,435,4/3/1999,0
West,8,713,4/5/1999,0
West,8,116,4/7/1999,0
West,8,121,4/9/1999,0
West,8,59,4/11/1999,0
West,8,93,4/13/1999,0
West,8,151,4/15/1999,1
West,8,190,4/17/1999,0
West,8,89,4/19/1999,0
West,8,46,4/21/1999,0
West,8,10,4/23/1999,0
West,8,29,4/25/1999,0
West,8,51,4/27/1999,0
West,8,184,4/29/1999,0
West,8,131,5/1/1999,0
West,8,143,5/3/1999,0
West,8,33,5/5/1999,0
West,8,63,5/7/1999,0
West,8,394,5/9/1999,0
West,8,0,5/11/1999,1
West,8,0,5/13/1999,0
West,8,0,5/15/1999,1
West,8,0,5/17/1999,0
West,8,0,5/19/1999,0
West,8,0,5/21/1999,1
West,8,0,5/23/1999,0
West,8,0,5/25/1999,1
West,8,0,5/27/1999,1
East,9,410,3/24/1999,0
East,9,356,3/26/1999,0
East,9,483,3/28/1999,0
East,9,379,3/30/1999,0
East,9,528,4/1/1999,0
East,9,418,4/3/1999,0
East,9,479,4/5/1999,0
East,9,841,4/7/1999,0
East,9,1651,4/9/1999,0
East,9,873,4/11/1999,1
East,9,1518,4/13/1999,0
East,9,1014,4/15/1999,0
East,9,2060,4/17/1999,0
East,9,436,4/19/1999,0
East,9,10,4/21/1999,0
East,9,37,4/23/1999,0
East,9,0,4/25/1999,0
East,9,0,4/27/1999,1
East,9,0,4/29/1999,0
East,9,0,5/1/1999,0
East,9,0,5/3/1999,0
East,9,9,5/5/1999,0
East,9,0,5/7/1999,0
East,9,0,5/9/1999,1
East,9,0,5/11/1999,0
East,9,0,5/13/1999,0
East,9,0,5/15/1999,0
East,9,0,5/17/1999,0
East,9,0,5/19/1999,1
East,9,0,5/21/1999,1
East,9,0,5/23/1999,0
East,9,0,5/25/1999,0
East,9,0,5/27/1999,1
East,10,7,3/24/1999,0
East,10,13,3/26/1999,0
East,10,51,3/28/1999,0
East,10,3,3/30/1999,0
East,10,12,4/1/1999,0
East,10,1,4/3/1999,0
East,10,0,4/5/1999,0
East,10,0,4/7/1999,0
East,10,0,4/9/1999,0
East,10,0,4/11/1999,0
East,10,0,4/13/1999,0
East,10,0,4/15/1999,0
East,10,0,4/17/1999,0
East,10,0,4/19/1999,0
East,10,0,4/21/1999,0
East,10,0,4/23/1999,0
East,10,0,4/25/1999,0
East,10,10,4/27/1999,0
East,10,0,4/29/1999,0
East,10,0,5/1/1999,0
East,10,0,5/3/1999,0
East,10,6,5/5/1999,0
East,10,0,5/7/1999,0
East,10,0,5/9/1999,0
East,10,0,5/11/1999,1
East,10,0,5/13/1999,0
East,10,0,5/15/1999,0
East,10,0,5/17/1999,0
East,10,0,5/19/1999,0
East,10,0,5/21/1999,0
East,10,0,5/23/1999,0
East,10,0,5/25/1999,1
East,10,0,5/27/1999,0
North,11,820,3/24/1999,0
North,11,1002,3/26/1999,0
North,11,1566,3/28/1999,1
North,11,1066,3/30/1999,0
North,11,1016,4/1/1999,1
North,11,838,4/3/1999,0
North,11,869,4/5/1999,0
